"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction","gene_id"
10126.6019213287,-4.4667597188273,0.0692969295266529,-64.45826314872,0,0,"Significant","Downregulated","NHECHLLE_00831"
22512.2266756922,4.35637424791127,0.0746673275354871,58.3437815668549,0,0,"Significant","Upregulated","NHECHLLE_00840"
11435.8570042955,-2.26137253438801,0.054901566674048,-41.189581124594,0,0,"Significant","Downregulated","NHECHLLE_00867"
11884.0887159743,-2.01108435110787,0.0530698981326003,-37.8950105779924,0,0,"Significant","Downregulated","NHECHLLE_00883"
952.268768144302,4.53382415913474,0.117000443729297,38.7504868752859,0,0,"Significant","Upregulated","NHECHLLE_00920"
2806.55030533987,4.59380130672039,0.08366097102934,54.9097297126678,0,0,"Significant","Upregulated","NHECHLLE_00956"
1374.41934928005,4.52641353280409,0.101672727980581,44.5194460963871,0,0,"Significant","Upregulated","NHECHLLE_00957"
3254.41940515395,5.1903348051922,0.0857545601357054,60.5254670652916,0,0,"Significant","Upregulated","NHECHLLE_00967"
1337.8449021367,5.45724117184755,0.126029312220757,43.3013643864729,0,0,"Significant","Upregulated","NHECHLLE_00969"
1820.09941059696,3.89362882440918,0.0893699974100687,43.5675163617104,0,0,"Significant","Upregulated","NHECHLLE_00970"
50240.9076588603,-3.09289077661149,0.0501330585846324,-61.6936381687188,0,0,"Significant","Downregulated","NHECHLLE_01010"
109969.917526009,-2.87803599099334,0.0734794623357259,-39.1678967089289,0,0,"Significant","Downregulated","NHECHLLE_01011"
25844.7844123748,-2.55334343738843,0.0576663067578006,-44.2779082092515,0,0,"Significant","Downregulated","NHECHLLE_01012"
30443.2872956735,-2.62406728540371,0.0565716456703196,-46.3848497654795,0,0,"Significant","Downregulated","NHECHLLE_01013"
4851.56517156704,-2.43380470720276,0.0617268832371972,-39.4286019245522,0,0,"Significant","Downregulated","NHECHLLE_01070"
4101.97410147325,-3.48994598427265,0.0707464262054359,-49.330350258802,0,0,"Significant","Downregulated","NHECHLLE_01071"
