"","BHI_1","BHI_2","BHI_3","Serum_1","Serum_2","Serum_3"
"NHECHLLE_00206",1546,1373,1409,521,617,588
"NHECHLLE_00207",340,286,242,518,615,625
"NHECHLLE_00208",169,210,155,105,107,105
"NHECHLLE_00209",89,71,62,88,87,76
"NHECHLLE_00210",92,80,83,117,131,113
"NHECHLLE_00211",2141,2089,1855,512,593,555
"NHECHLLE_00212",2442,2171,2036,754,960,864
"NHECHLLE_00213",3707,3490,2959,1238,1400,1204
"NHECHLLE_00214",3074,3048,2767,1066,1271,1181
"NHECHLLE_00215",4209,3675,3436,1221,1473,1242
"NHECHLLE_00216",791,855,792,239,278,254
"NHECHLLE_00217",2325,2674,2236,719,848,743
"NHECHLLE_00218",409,410,423,176,209,212
"NHECHLLE_00219",39,43,37,49,56,47
"NHECHLLE_00220",43,68,59,83,92,107
"NHECHLLE_00221",110,121,110,49,46,49
"NHECHLLE_00222",71,71,75,36,31,41
"NHECHLLE_00223",22,21,30,13,29,22
"NHECHLLE_00224",44,50,41,65,66,77
"NHECHLLE_00225",88,84,78,79,83,79
"NHECHLLE_00226",34,25,26,27,32,28
"NHECHLLE_00227",867,884,812,571,758,671
"NHECHLLE_00228",596,546,531,359,405,385
"NHECHLLE_00229",1316,1421,1207,771,839,762
"NHECHLLE_00230",1081,1104,933,522,552,478
"NHECHLLE_00231",1515,1538,1360,579,627,654
"NHECHLLE_00232",34822,34023,31009,7739,8833,7933
"NHECHLLE_00233",777,720,708,74,94,69
"NHECHLLE_00234",1,0,0,0,0,0
"NHECHLLE_00235",1364,1264,1100,1476,1769,1376
"NHECHLLE_00236",1111,946,841,2108,2283,2136
"NHECHLLE_00237",3906,3908,3409,2662,2939,2834
"NHECHLLE_00238",1926,2129,1703,1300,1517,1365
"NHECHLLE_00239",1914,1719,1525,1072,1308,1134
"NHECHLLE_00240",14013,14529,13398,5278,6203,5470
"NHECHLLE_00241",2475,2792,2481,3016,3760,3228
"NHECHLLE_00242",6909,7238,6019,10498,12800,11656
"NHECHLLE_00243",5634,5721,5046,4848,5786,5010
"NHECHLLE_00244",2044,1898,1733,2819,2923,2686
"NHECHLLE_00245",586,501,456,787,821,710
"NHECHLLE_00246",2260,2211,2138,11246,12134,10285
"NHECHLLE_00247",1051,1033,986,2194,2566,2263
"NHECHLLE_00248",3641,4071,3732,6122,7298,6576
"NHECHLLE_00249",4560,4534,4081,8045,9087,8558
"NHECHLLE_00250",2709,2941,2365,5620,6379,5975
"NHECHLLE_00251",0,0,1,0,0,0
"NHECHLLE_00252",454,465,433,405,415,339
"NHECHLLE_00253",467,492,444,395,482,410
"NHECHLLE_00254",926,987,861,1103,1237,1196
"NHECHLLE_00255",2452,2527,2088,593,686,731
"NHECHLLE_00256",541,503,473,187,219,187
"NHECHLLE_00257",1105,1173,1034,352,461,415
"NHECHLLE_00258",3571,3499,3249,2067,2189,2200
"NHECHLLE_00259",654,721,651,722,944,862
"NHECHLLE_00260",1041,956,875,1592,1552,1534
"NHECHLLE_00261",1583,1553,1466,2211,2594,2188
"NHECHLLE_00262",7953,7929,7033,4366,5040,4530
"NHECHLLE_00263",87,80,94,21,30,26
"NHECHLLE_00264",2,2,1,3,6,1
"NHECHLLE_00265",4,11,8,4,6,2
"NHECHLLE_00266",527,617,496,1848,2088,1996
"NHECHLLE_00267",185,227,191,282,311,272
"NHECHLLE_00268",460,390,381,8523,9782,9047
"NHECHLLE_00269",31,15,21,10,6,10
"NHECHLLE_00270",51,27,41,33,31,32
"NHECHLLE_00271",5,6,5,3,9,4
"NHECHLLE_00272",11,15,9,9,7,1
"NHECHLLE_00273",37,33,29,24,28,25
"NHECHLLE_00274",0,0,0,1,0,1
"NHECHLLE_00275",26,20,18,27,21,24
"NHECHLLE_00276",45,65,52,40,45,37
"NHECHLLE_00277",1446,1647,1533,206,281,260
"NHECHLLE_00278",723,495,391,2439,2672,2581
"NHECHLLE_00279",61,55,48,158,202,169
"NHECHLLE_00280",56,59,62,153,164,164
"NHECHLLE_00281",295,333,314,622,732,684
"NHECHLLE_00282",9,9,10,9,10,8
"NHECHLLE_00283",227,276,252,34,40,33
"NHECHLLE_00284",56,56,70,54,41,52
"NHECHLLE_00285",97,92,85,113,126,127
"NHECHLLE_00286",320,274,261,414,407,442
"NHECHLLE_00287",358,358,351,158,182,186
"NHECHLLE_00288",13,6,4,17,21,17
"NHECHLLE_00289",2,3,1,9,13,16
"NHECHLLE_00290",0,0,0,3,5,1
"NHECHLLE_00291",3,1,4,2,1,0
"NHECHLLE_00292",2,2,0,1,3,0
"NHECHLLE_00293",3,4,3,2,2,2
"NHECHLLE_00294",2,3,4,2,3,1
"NHECHLLE_00295",1,4,2,1,1,1
"NHECHLLE_00296",5,0,1,1,0,0
"NHECHLLE_00297",6,2,3,2,5,2
"NHECHLLE_00298",21,19,15,16,15,13
"NHECHLLE_00299",18,19,21,7,7,12
"NHECHLLE_00300",243,273,310,274,365,306
"NHECHLLE_00301",15630,19248,18432,8282,12115,10338
"NHECHLLE_00302",23,19,24,10,30,22
"NHECHLLE_00303",173,187,169,268,319,303
"NHECHLLE_00304",302,282,276,307,366,376
"NHECHLLE_00305",160,191,197,215,260,225
"NHECHLLE_00306",198,154,174,286,255,257
"NHECHLLE_00308",70,86,85,2245,2320,2236
"NHECHLLE_00309",102,100,79,1621,1744,1704
"NHECHLLE_00310",52,52,44,6790,7261,7102
"NHECHLLE_00311",43,41,35,4386,4576,4470
"NHECHLLE_00312",9,4,6,428,474,401
"NHECHLLE_00313",65,57,57,6799,6717,6306
"NHECHLLE_00314",170,147,99,19692,17884,18051
"NHECHLLE_00315",526,424,450,4733,4543,4413
"NHECHLLE_00316",48,33,31,518,582,549
"NHECHLLE_00317",1717,1585,1407,27551,26832,25418
"NHECHLLE_00318",242,278,266,2650,2824,2772
"NHECHLLE_00319",145,206,167,21,22,24
"NHECHLLE_00320",61,69,64,14,31,27
"NHECHLLE_00321",151,132,133,89,81,76
"NHECHLLE_00322",35,25,34,33,52,27
"NHECHLLE_00323",1759,1598,1482,13051,12680,12351
"NHECHLLE_00324",668,535,403,5016,4684,4792
"NHECHLLE_00325",1276,1522,1321,10218,11587,10266
"NHECHLLE_00326",161,146,168,1201,1193,1166
"NHECHLLE_00327",0,1,0,0,0,0
"NHECHLLE_00328",80,55,78,98,117,96
"NHECHLLE_00329",100,111,118,162,213,178
"NHECHLLE_00330",65,78,65,12,28,27
"NHECHLLE_00331",48,55,44,30,29,18
"NHECHLLE_00332",5691,5665,4770,542,616,580
"NHECHLLE_00333",376,393,322,92,103,89
"NHECHLLE_00334",706,604,493,129,123,107
"NHECHLLE_00335",3877,4148,3518,1022,1097,1064
"NHECHLLE_00336",237,277,306,47,67,60
"NHECHLLE_00337",1056,967,889,723,869,811
"NHECHLLE_00338",200,207,194,212,237,233
"NHECHLLE_00339",67291,65620,59144,86587,98763,87905
"NHECHLLE_00340",853,941,856,725,905,848
"NHECHLLE_00341",579,634,595,807,964,886
"NHECHLLE_00342",330,318,291,120,110,124
"NHECHLLE_00343",19324,21847,18078,687,801,689
"NHECHLLE_00344",5927,6761,5777,135,196,195
"NHECHLLE_00345",191,238,190,122,144,174
"NHECHLLE_00346",167,211,190,47,42,48
"NHECHLLE_00347",228,235,188,55,52,61
"NHECHLLE_00348",401,406,362,96,99,71
"NHECHLLE_00349",302,323,306,144,187,169
"NHECHLLE_00350",992,890,824,155,175,149
"NHECHLLE_00351",1136,1201,1024,658,773,697
