"","BHI_1","BHI_2","BHI_3","Serum_1","Serum_2","Serum_3"
"NHECHLLE_01067",2718,3104,2762,12910,13686,12389
"NHECHLLE_01068",587,464,484,1470,1938,1841
"NHECHLLE_01069",894,852,759,458,527,520
"NHECHLLE_01070",9253,8941,8097,1343,1570,1361
"NHECHLLE_01071",7775,8613,7775,581,699,612
"NHECHLLE_01072",13,18,23,5,8,5
"NHECHLLE_01073",40,33,21,18,24,17
"NHECHLLE_01074",17,16,18,6,7,10
"NHECHLLE_01075",16,9,19,12,7,11
"NHECHLLE_01076",5,7,5,1,1,6
"NHECHLLE_01077",24,47,39,25,26,30
"NHECHLLE_01078",46,36,45,18,26,26
"NHECHLLE_01079",606,705,659,3874,4548,4192
"NHECHLLE_01080",933,819,969,295,365,316
"NHECHLLE_01081",2931,2752,2749,1096,1278,1243
"NHECHLLE_01082",1411,1342,1326,1563,1625,1538
"NHECHLLE_01083",941,778,710,864,940,940
"NHECHLLE_01084",988,1171,1016,3154,3765,3602
"NHECHLLE_01085",1522,1416,1365,4517,4811,4507
"NHECHLLE_01086",7778,8396,7303,14795,16478,15101
"NHECHLLE_01087",3468,3264,2981,4089,4493,4150
"NHECHLLE_01088",4430,3921,3615,6138,6728,6256
"NHECHLLE_01089",761,677,642,1394,1583,1475
"NHECHLLE_01090",484,479,475,198,212,204
"NHECHLLE_01091",241,210,174,92,107,92
"NHECHLLE_01092",42,23,31,22,18,20
"NHECHLLE_01093",178,139,131,81,76,75
"NHECHLLE_01094",5,9,8,4,0,1
"NHECHLLE_01095",33,48,37,24,26,17
"NHECHLLE_01096",32,33,27,14,17,14
"NHECHLLE_01097",41,45,50,19,19,28
"NHECHLLE_01098",23,39,25,22,15,9
"NHECHLLE_01099",51,50,50,38,47,37
"NHECHLLE_01100",5,5,8,7,7,8
"NHECHLLE_01101",17,23,13,7,10,15
"NHECHLLE_01102",33,49,46,53,44,43
"NHECHLLE_01103",91,103,84,60,67,60
"NHECHLLE_01104",536,614,539,310,379,394
"NHECHLLE_01105",75,76,64,161,157,188
"NHECHLLE_01106",175,140,142,120,133,148
"NHECHLLE_01107",190,195,171,112,115,115
"NHECHLLE_01108",159,184,142,74,79,84
"NHECHLLE_01109",300,303,269,133,138,136
"NHECHLLE_01110",373,339,349,127,147,126
"NHECHLLE_01111",7436,9353,8736,4250,5201,4512
"NHECHLLE_01112",5238,4986,4466,3230,3752,3373
"NHECHLLE_01113",1457,1319,1178,519,550,524
"NHECHLLE_01114",331,319,321,184,191,186
"NHECHLLE_01115",311,315,237,123,156,136
"NHECHLLE_01116",186,229,180,61,59,62
"NHECHLLE_01117",546,526,522,415,474,448
"NHECHLLE_01118",550,582,537,486,502,506
"NHECHLLE_01119",316,385,326,219,246,249
"NHECHLLE_01120",285,274,269,147,188,156
"NHECHLLE_01121",62,66,69,19,27,28
"NHECHLLE_01122",115,129,93,90,86,87
"NHECHLLE_01123",23,20,16,16,16,27
"NHECHLLE_01124",16,20,18,13,10,13
"NHECHLLE_01125",3071,2810,2734,1097,1239,1100
"NHECHLLE_01126",1526,1536,1512,436,566,525
"NHECHLLE_01127",92,105,84,190,229,229
"NHECHLLE_01128",3984,4326,3976,2013,2619,2445
"NHECHLLE_01129",174,197,195,110,118,110
"NHECHLLE_01130",19,18,29,21,19,21
"NHECHLLE_01131",10,4,8,14,16,13
"NHECHLLE_01132",68,63,62,746,817,1127
"NHECHLLE_01133",8,6,9,386,400,496
"NHECHLLE_01134",269,278,264,231,250,229
"NHECHLLE_01135",860,809,802,117,153,134
"NHECHLLE_01136",1242,1187,1065,881,1057,944
"NHECHLLE_01137",1761,1599,1437,1096,1361,1137
"NHECHLLE_01138",144,149,113,86,54,60
"NHECHLLE_01139",1524,1542,1342,1018,1154,1022
"NHECHLLE_01140",46304,48036,39091,1706,2044,1874
"NHECHLLE_01141",35571,32517,30032,1585,1731,1499
"NHECHLLE_01142",1134,1030,964,440,497,450
"NHECHLLE_01143",23684,23537,20918,6295,7467,6730
"NHECHLLE_01144",8527,8430,7730,35556,42724,40230
"NHECHLLE_01145",1325,1366,1354,366,441,452
"NHECHLLE_01146",5972,4969,4632,1919,2166,2011
"NHECHLLE_01147",4797,5293,3856,1931,2204,2025
"NHECHLLE_01148",6314,6623,5874,1438,1853,1620
"NHECHLLE_01149",5575,5307,4690,905,1097,987
"NHECHLLE_01150",478,488,496,538,549,442
"NHECHLLE_01151",1535,1765,1546,321,420,389
"NHECHLLE_01152",98,82,89,78,87,82
"NHECHLLE_01153",0,0,0,0,0,1
"NHECHLLE_01154",8493,8389,7895,3370,4463,4023
"NHECHLLE_01181",0,0,0,0,0,0
"NHECHLLE_01182",38809,41714,36445,14682,17416,16224
"NHECHLLE_01183",3207,3192,2948,1487,1602,1425
"NHECHLLE_01184",3680,3432,2872,942,1147,1040
"NHECHLLE_01185",33955,26405,24324,27851,31349,29633
"NHECHLLE_01186",6623,6287,5305,3887,4379,4035
"NHECHLLE_01187",2767,2315,2370,2064,2254,2155
"NHECHLLE_01188",8224,9207,8315,7184,8841,8157
"NHECHLLE_01189",3796,3778,3707,3343,3675,3507
"NHECHLLE_01190",1112,1078,896,422,379,423
"NHECHLLE_01191",2575,2306,2351,907,1064,924
"NHECHLLE_01192",11084,10693,9374,4892,5549,5130
"NHECHLLE_01193",799,759,697,269,293,276
"NHECHLLE_01194",76644,86456,78765,18783,22378,20436
"NHECHLLE_01195",4500,4600,4319,3272,3871,3777
"NHECHLLE_01196",2490,2052,1877,1620,1653,1630
"NHECHLLE_01197",350,340,315,125,134,145
"NHECHLLE_01198",2548,2706,2415,3317,3847,3454
"NHECHLLE_01199",70312,73025,66948,227853,268428,244594
"NHECHLLE_01200",1219,1095,1326,854,1178,1033
"NHECHLLE_01201",5749,5403,4878,5411,6065,5464
"NHECHLLE_01202",3694,3296,2974,4622,4835,4674
"NHECHLLE_01203",1134,1197,1133,1605,1842,1719
"NHECHLLE_01204",4074,4061,3595,5895,6525,5730
"NHECHLLE_01205",20103,20215,18509,13220,14873,13940
"NHECHLLE_01206",7429,7453,6432,3961,4572,4161
"NHECHLLE_01207",7316,6743,6150,4106,4740,4402
"NHECHLLE_01208",4370,4129,3615,2201,2436,2309
"NHECHLLE_01209",2190,1990,1744,1533,1637,1501
"NHECHLLE_01210",5514,4980,4623,3986,4510,4234
"NHECHLLE_01211",5590,5504,4444,9502,10635,9879
"NHECHLLE_01212",11482,10469,9286,16547,18362,15878
"NHECHLLE_01213",979,844,807,554,611,545
"NHECHLLE_01214",2070,2012,1720,1220,1368,1255
"NHECHLLE_01215",586,415,382,339,355,325
"NHECHLLE_01216",847,823,719,600,641,642
"NHECHLLE_01217",3280,3157,2897,6635,7324,7317
"NHECHLLE_01218",875,692,602,1533,1804,1634
"NHECHLLE_01219",9501,9278,9120,5433,6478,5502
"NHECHLLE_01220",13785,14722,12905,7291,8767,7774
"NHECHLLE_01221",4031,4235,3672,1981,2318,1987
"NHECHLLE_01222",693,617,693,245,280,309
"NHECHLLE_01223",898,880,871,361,461,400
"NHECHLLE_01224",1733,1969,1816,445,540,507
"NHECHLLE_01225",4501,4304,3842,3424,3844,3715
"NHECHLLE_01226",5487,5520,4863,4797,5573,5210
"NHECHLLE_01227",1473,1989,1584,1246,1488,1382
"NHECHLLE_01228",22540,21299,20414,27609,30768,29950
"NHECHLLE_01229",16319,14944,13835,13830,16425,15390
"NHECHLLE_01230",3410,3253,3063,1269,1462,1318
"NHECHLLE_01231",4212,4395,4135,2573,2912,2629
"NHECHLLE_01232",6103,5484,5191,3793,4128,3850
"NHECHLLE_01233",2886,2870,2644,1925,2410,2100
"NHECHLLE_01234",1761,1634,1499,1031,1223,1076
"NHECHLLE_01235",2440,2387,2035,2167,2299,2271
"NHECHLLE_01236",1212,1090,1014,1306,1512,1364
"NHECHLLE_01237",3456,3254,3083,5418,6528,5494
"NHECHLLE_01238",87,102,88,11,10,8
"NHECHLLE_01239",3139,2717,2456,1046,1087,1106
"NHECHLLE_01240",3852,4966,4004,1678,1857,1787
"NHECHLLE_01241",1763,1985,1730,498,626,543
"NHECHLLE_01242",6361,6752,5881,1705,2015,1787
"NHECHLLE_01243",2353,2197,2051,867,916,833
"NHECHLLE_01244",19064,20790,18579,11960,13681,12102
"NHECHLLE_01245",3941,3908,3470,3836,4245,4173
"NHECHLLE_01246",6774,5912,5149,4443,4996,4601
"NHECHLLE_01247",2208,2087,1796,1483,1852,1640
"NHECHLLE_01248",1732,1696,1614,1231,1404,1284
"NHECHLLE_01249",4985,4870,4491,3408,3910,3339
"NHECHLLE_01250",2121,2304,1988,1200,1405,1247
"NHECHLLE_01251",591,421,412,781,931,886
"NHECHLLE_01252",30,29,30,7,5,6
"NHECHLLE_01253",5,2,2,1,0,1
"NHECHLLE_01254",958,894,828,1529,1786,1708
"NHECHLLE_01255",383,395,445,59,70,59
"NHECHLLE_01256",296,318,286,430,481,483
"NHECHLLE_01257",378,434,419,121,110,132
"NHECHLLE_01258",390,418,370,75,103,95
"NHECHLLE_01259",686,700,636,88,97,86
"NHECHLLE_01260",17442,17128,15768,5096,5730,5413
"NHECHLLE_01261",522,435,459,1770,1980,1936
"NHECHLLE_01262",76,81,74,62,73,58
"NHECHLLE_01263",335,372,358,213,219,226
"NHECHLLE_01264",1220,1344,1158,197,195,186
"NHECHLLE_01265",1647,1741,1570,213,293,242
"NHECHLLE_01266",9,8,15,13,14,14
"NHECHLLE_01267",136,139,128,146,165,173
"NHECHLLE_01268",389,390,362,370,398,429
"NHECHLLE_01269",215,208,178,1278,1416,1191
"NHECHLLE_01270",210,223,178,247,254,237
"NHECHLLE_01271",76,74,96,104,143,141
"NHECHLLE_01272",4,2,7,3,4,2
"NHECHLLE_01273",538,486,599,139,139,120
"NHECHLLE_01274",547,499,420,71,106,132
"NHECHLLE_01275",1050,1108,953,901,996,984
"NHECHLLE_01276",3560,3688,3230,692,685,666
"NHECHLLE_01277",627,566,576,397,467,433
"NHECHLLE_01278",3067,2937,2608,993,1080,961
"NHECHLLE_01279",30,30,38,61,84,68
"NHECHLLE_01280",858,858,763,2071,2588,2287
"NHECHLLE_01281",1381,1291,1094,870,1060,918
"NHECHLLE_01282",644,559,491,410,462,439
"NHECHLLE_01283",86,87,67,174,215,216
"NHECHLLE_01284",327,298,276,670,895,755
"NHECHLLE_01285",6,7,4,1,2,1
"NHECHLLE_01286",130,150,137,70,90,98
"NHECHLLE_01287",4,6,5,7,13,12
"NHECHLLE_01288",7,6,5,13,9,10
"NHECHLLE_01289",6,4,10,5,8,8
"NHECHLLE_01290",109,136,111,111,103,99
"NHECHLLE_01291",0,0,0,0,0,0
"NHECHLLE_01292",64,52,47,43,36,41
"NHECHLLE_01293",1450,1344,1226,2552,2993,2748
"NHECHLLE_01294",111,124,100,183,244,229
"NHECHLLE_01295",6,4,3,8,6,8
"NHECHLLE_01296",8,7,4,12,14,15
"NHECHLLE_01297",2,0,4,4,8,9
"NHECHLLE_01298",7,16,8,9,9,20
"NHECHLLE_01299",5,4,7,2,0,3
"NHECHLLE_01300",0,0,0,0,0,0
"NHECHLLE_01301",33,24,23,6,15,10
"NHECHLLE_01302",1,1,0,1,0,0
"NHECHLLE_01303",18,24,18,11,20,15
"NHECHLLE_01304",43,39,41,36,22,35
"NHECHLLE_01305",44,38,53,13,12,12
"NHECHLLE_01306",121,134,138,43,44,56
"NHECHLLE_01307",942,1015,925,346,399,324
"NHECHLLE_01308",669,715,624,244,274,214
"NHECHLLE_01309",131,155,138,42,49,54
"NHECHLLE_01310",201,237,202,42,58,62
"NHECHLLE_01311",122,101,98,38,49,41
"NHECHLLE_01312",2564,2654,2535,1048,1264,1069
"NHECHLLE_01313",85,118,86,54,72,43
"NHECHLLE_01314",220,222,186,100,111,99
"NHECHLLE_01315",11,17,10,14,25,18
"NHECHLLE_01316",7,8,5,20,33,25
"NHECHLLE_01317",121,126,124,28,42,47
"NHECHLLE_01318",26,27,50,4,7,8
"NHECHLLE_01319",153,185,147,48,49,38
"NHECHLLE_01320",1073,1001,898,308,323,324
"NHECHLLE_01321",24,27,32,8,8,14
"NHECHLLE_01322",37,34,40,59,55,69
"NHECHLLE_01323",837,775,730,922,1045,988
"NHECHLLE_01324",62,65,40,30,40,43
"NHECHLLE_01325",475,516,420,544,641,593
"NHECHLLE_01326",36,35,40,34,47,53
"NHECHLLE_01327",226,236,215,270,295,258
"NHECHLLE_01328",23,14,15,21,22,17
"NHECHLLE_01329",98,94,90,81,125,80
"NHECHLLE_01330",314,300,308,305,386,330
"NHECHLLE_01331",127,109,149,149,206,192
"NHECHLLE_01332",54,47,52,66,78,49
"NHECHLLE_01333",49,44,40,57,77,63
"NHECHLLE_01334",28,37,27,15,21,16
"NHECHLLE_01335",193,243,201,200,258,245
"NHECHLLE_01336",10,18,12,22,23,20
"NHECHLLE_01337",42,44,27,63,58,55
"NHECHLLE_01338",532,545,511,767,847,777
"NHECHLLE_01339",375,326,323,525,676,625
"NHECHLLE_01340",1,1,0,2,0,2
"NHECHLLE_01341",424,446,402,515,603,521
"NHECHLLE_01342",219,218,232,348,405,330
"NHECHLLE_01343",36105,34189,35828,3501,4345,3827
"NHECHLLE_01344",58281,59843,59723,2997,3422,3271
"NHECHLLE_01345",19372,23389,20428,16002,19126,17599
"NHECHLLE_01346",1160,1161,1068,854,948,928
"NHECHLLE_01347",123,81,115,58,64,46
"NHECHLLE_01348",190,164,153,1770,1747,1544
"NHECHLLE_01349",44,55,63,20,22,18
"NHECHLLE_01350",145,120,144,45,34,34
"NHECHLLE_01351",68,87,78,43,44,47
"NHECHLLE_01352",16,21,16,11,11,12
"NHECHLLE_01353",7,9,7,4,4,4
"NHECHLLE_01354",13,18,5,4,6,4
"NHECHLLE_01355",20,20,18,7,9,6
"NHECHLLE_01356",28,33,34,14,16,10
"NHECHLLE_01357",16,19,14,7,12,16
"NHECHLLE_01358",34,41,30,10,16,16
"NHECHLLE_01359",1370,1475,1238,1233,1370,1252
"NHECHLLE_01360",74935,68784,65425,27440,30931,28769
"NHECHLLE_01361",75590,71000,67061,29319,32566,30268
"NHECHLLE_01362",527,515,484,344,448,364
"NHECHLLE_01363",227,228,197,131,186,145
"NHECHLLE_01364",375,402,300,336,403,354
"NHECHLLE_01365",2023,2226,1935,2287,2663,2350
"NHECHLLE_01366",1822,1763,1434,2584,2682,2482
"NHECHLLE_01367",11722,11856,10372,2499,2817,2545
"NHECHLLE_01368",1986,2171,2079,1092,1278,1213
"NHECHLLE_01369",888,777,801,366,414,382
"NHECHLLE_01370",854,917,798,339,408,377
"NHECHLLE_01371",7165,6766,6192,2636,3122,3610
"NHECHLLE_01372",8530,7551,7155,6357,7331,7982
"NHECHLLE_01373",1627,1630,1425,1056,1181,1182
"NHECHLLE_01374",271,280,271,64,59,81
"NHECHLLE_01375",8190,7980,7397,3678,4045,3894
"NHECHLLE_01376",6607,6414,5768,2175,2281,2460
"NHECHLLE_01377",4601,5517,4700,972,1052,1060
"NHECHLLE_01378",10019,10736,9527,15441,18189,17272
"NHECHLLE_01379",714,777,847,1060,1121,1088
"NHECHLLE_01389",2804,2406,2140,1901,2030,2003
"NHECHLLE_01390",1613,1440,1416,1830,2024,1828
"NHECHLLE_01391",5635,5188,4876,2382,2822,2411
"NHECHLLE_01392",16791,15502,14344,29336,33620,30919
"NHECHLLE_01393",6924,7101,6647,3259,3745,3480
"NHECHLLE_01394",11684,10998,9819,5448,6426,6159
"NHECHLLE_01395",1066,860,898,561,591,542
"NHECHLLE_01396",4913,4140,4076,1965,2268,2129
"NHECHLLE_01397",3825,3935,3461,1186,1388,1222
"NHECHLLE_01398",2177,2277,2143,661,717,636
"NHECHLLE_01399",9287,9525,8715,2864,3278,3092
"NHECHLLE_01400",5253,4550,4186,1293,1422,1265
"NHECHLLE_01401",132,167,120,19,32,21
"NHECHLLE_01402",6284,6123,5715,3924,4461,3920
"NHECHLLE_01403",6676,6929,6298,1932,2282,1932
"NHECHLLE_01404",2117,1698,1641,453,496,438
"NHECHLLE_01405",1109,1306,1470,205,311,253
"NHECHLLE_01406",10998,10848,9742,6749,7924,7411
"NHECHLLE_01407",5343,5695,5144,3799,4616,4069
"NHECHLLE_01408",1176,1189,1198,699,923,820
"NHECHLLE_01409",7443,6877,6586,3794,4251,3804
"NHECHLLE_01410",19068,17710,16230,9132,10289,9123
"NHECHLLE_01411",42954,40656,34718,20674,23290,21587
"NHECHLLE_01412",14042,12693,12829,3212,3889,3655
"NHECHLLE_01413",38422,34009,31026,14717,14735,14790
"NHECHLLE_01414",10986,13086,13462,3207,4142,3967
"NHECHLLE_01415",5331,5096,4462,4137,4503,4574
"NHECHLLE_01416",2919,2826,2509,1935,2194,1961
"NHECHLLE_01417",4425,4334,3893,1895,2272,1985
"NHECHLLE_01418",12179,11832,10506,30485,35597,32095
"NHECHLLE_01419",6635,5525,4841,2555,2828,2595
"NHECHLLE_01420",11400,11527,10620,2235,2532,2401
"NHECHLLE_01421",1905,2336,1942,2676,3171,3097
"NHECHLLE_01422",1275,1407,1285,2931,3177,3196
"NHECHLLE_01423",1181,1124,1103,742,957,838
"NHECHLLE_01424",568,744,672,326,507,442
"NHECHLLE_01425",703,733,667,140,159,164
"NHECHLLE_01426",13,14,8,1,2,6
"NHECHLLE_01427",291,330,295,82,140,123
"NHECHLLE_01428",1292,1404,1200,418,448,460
"NHECHLLE_01429",1232,1408,1274,417,494,387
"NHECHLLE_01430",56,55,49,48,48,40
"NHECHLLE_01431",111,127,92,66,64,75
"NHECHLLE_01432",7,10,6,4,5,2
"NHECHLLE_01433",154,136,111,94,81,107
"NHECHLLE_01434",535,610,480,574,663,641
"NHECHLLE_01435",524,574,498,401,469,417
"NHECHLLE_01436",42,59,41,28,17,24
"NHECHLLE_01437",18,32,21,10,19,8
"NHECHLLE_01438",55,40,36,23,31,32
"NHECHLLE_01439",148,112,150,67,97,98
"NHECHLLE_01440",53341,56195,50479,22922,26017,23981
"NHECHLLE_01441",5136,4780,4708,2919,3500,3254
"NHECHLLE_01442",1835,1753,1492,1047,1188,1013
"NHECHLLE_01443",985,1041,1010,650,695,694
"NHECHLLE_01444",11309,10013,9385,2180,2498,2080
"NHECHLLE_01445",9238,8189,7701,3322,3827,3238
"NHECHLLE_01446",4324,3023,2949,1348,1434,1383
"NHECHLLE_01447",38972,34335,31005,54866,63589,57917
"NHECHLLE_01448",20914,18011,16490,17134,20291,17352
"NHECHLLE_01449",11269,9775,9040,8276,10108,9021
"NHECHLLE_01450",8158,7301,6809,5922,7071,6216
"NHECHLLE_01451",9921,9775,9478,5947,7388,6494
"NHECHLLE_01452",8045,7924,7559,6011,7158,6069
"NHECHLLE_01453",7206,6612,6173,8130,9018,8143
"NHECHLLE_01454",65442,81324,68458,17488,23039,20634
"NHECHLLE_01455",6497,7153,6425,3153,3819,3450
"NHECHLLE_01456",3367,3546,2945,1467,1947,1784
"NHECHLLE_01457",62872,63735,60037,10239,11598,11182
"NHECHLLE_01458",63807,59505,57527,12101,13796,13347
"NHECHLLE_01459",151575,144347,140317,38788,42627,40827
"NHECHLLE_01460",369880,377290,348054,101585,122754,117099
"NHECHLLE_01461",11966,11355,11545,1470,1833,1804
"NHECHLLE_01462",69225,55091,48770,11169,12263,11280
"NHECHLLE_01463",29769,33194,31998,5744,6731,6213
"NHECHLLE_01464",16243,16868,15526,3625,3810,3529
"NHECHLLE_01465",54244,60616,55701,9819,11897,10803
"NHECHLLE_01466",29598,30275,26513,3891,4572,3924
"NHECHLLE_01467",31682,28258,26461,4225,5096,4606
"NHECHLLE_01468",97914,80173,78621,14298,16021,14331
"NHECHLLE_01469",45229,38296,34549,5999,7133,6849
"NHECHLLE_01470",11239,14759,14453,1967,2169,1900
"NHECHLLE_01471",59528,65550,52787,8052,9486,8807
"NHECHLLE_01472",34307,32778,31888,4448,5228,4741
"NHECHLLE_01473",73675,69939,61763,10229,10856,9848
"NHECHLLE_01474",40453,37553,37058,4984,6074,5533
"NHECHLLE_01475",26105,24503,21042,2680,3544,3103
"NHECHLLE_01476",34509,37647,37595,4162,5628,4979
"NHECHLLE_01477",48457,47586,42883,7449,8487,8223
"NHECHLLE_01478",48666,45406,40659,5849,6798,6511
"NHECHLLE_01479",64887,63497,55909,9248,9773,9787
"NHECHLLE_01480",13547,13820,12249,1712,2105,1858
"NHECHLLE_01481",54484,45228,47020,5947,7043,5964
"NHECHLLE_01482",169611,159270,142414,19765,22252,20491
"NHECHLLE_01483",51891,50593,46069,5111,5928,5840
"NHECHLLE_01484",22823,17395,17579,2749,2904,2773
"NHECHLLE_01485",21440,18771,19226,3203,3333,2898
"NHECHLLE_01486",28818,30827,27715,4592,5490,5048
"NHECHLLE_01487",24635,24081,22798,3106,4095,3562
"NHECHLLE_01488",89165,71878,74643,12667,14649,13215
"NHECHLLE_01489",106239,105052,91392,17541,18651,18433
"NHECHLLE_01490",3017,2720,2432,2720,3001,2903
"NHECHLLE_01491",3620,3345,3012,3374,3657,3350
"NHECHLLE_01492",1552,1527,1384,1651,1963,1775
"NHECHLLE_01493",1319,1274,1052,559,609,562
"NHECHLLE_01494",1415,1272,1155,666,838,764
"NHECHLLE_01495",250,212,236,143,198,179
"NHECHLLE_01496",158,169,131,130,157,146
"NHECHLLE_01497",29,33,30,32,49,42
"NHECHLLE_01498",65,80,76,499,574,478
"NHECHLLE_01499",55,53,44,1276,1564,1414
"NHECHLLE_01500",90,94,72,19,26,18
"NHECHLLE_01501",55,34,40,18,21,15
"NHECHLLE_01502",4224,4276,3756,4507,5083,4637
"NHECHLLE_01503",6618,7577,7469,4121,4414,4199
"NHECHLLE_01504",2584,2534,2462,2046,2514,2285
"NHECHLLE_01505",41393,42522,36910,33037,38506,35192
"NHECHLLE_01506",7425,7069,6380,5474,6655,5669
"NHECHLLE_01507",11807,11315,9855,6617,7267,6733
"NHECHLLE_01508",9740,8741,9682,3175,3589,3157
"NHECHLLE_01509",27,26,41,68,104,62
"NHECHLLE_01510",2821,2325,2238,6104,6591,6351
"NHECHLLE_01511",3872,3439,3234,6252,6938,6731
"NHECHLLE_01512",1877,1766,1723,2980,3727,3438
"NHECHLLE_01513",2019,1927,1763,2776,3212,3406
"NHECHLLE_01514",13274,12873,12086,44121,53243,50543
"NHECHLLE_01515",3009,3191,2790,1720,1958,1798
"NHECHLLE_01516",16380,16244,14897,14680,16372,14716
"NHECHLLE_01517",2542,2311,2032,1349,1714,1554
"NHECHLLE_01518",4954,4411,4238,3051,3682,3371
"NHECHLLE_01519",7486,7122,6393,5396,6133,5485
"NHECHLLE_01520",589,629,640,1678,2245,1975
"NHECHLLE_01521",90,85,85,4189,5031,4830
"NHECHLLE_01522",208,190,144,8464,8898,9510
"NHECHLLE_01523",143,165,109,5261,5665,5985
"NHECHLLE_01524",373,354,292,16300,18701,20279
"NHECHLLE_01525",31,45,34,9,13,14
"NHECHLLE_01526",92,89,83,50,53,62
"NHECHLLE_01527",90,110,97,20,24,25
"NHECHLLE_01528",14,16,13,5,6,4
"NHECHLLE_01529",2508,2945,2552,4411,4982,4362
"NHECHLLE_01530",1701,1570,1514,3337,3786,3539
"NHECHLLE_01531",15,11,18,6,4,9
"NHECHLLE_01532",62,65,54,16,15,22
"NHECHLLE_01533",145,165,140,46,60,56
"NHECHLLE_01534",3,5,0,1,1,2
"NHECHLLE_01535",18057,17178,16535,2728,3431,3233
"NHECHLLE_01536",401,361,310,184,209,235
"NHECHLLE_01537",574,626,554,195,284,283
"NHECHLLE_01538",1830,1847,1690,1137,1217,1169
"NHECHLLE_01539",118,142,124,96,103,96
"NHECHLLE_01540",2323,2086,1963,1262,1464,1379
"NHECHLLE_01541",1030,1067,1053,2478,2763,2678
"NHECHLLE_01542",564,582,470,25113,32392,28665
"NHECHLLE_01543",48080,54565,52853,8733,10008,9522
"NHECHLLE_01544",1166,1290,1170,252,316,274
"NHECHLLE_01545",1913,1662,1568,556,570,535
"NHECHLLE_01546",2208,2234,2037,1119,1231,1214
"NHECHLLE_01547",1482,1331,1308,490,540,518
"NHECHLLE_01548",638,623,578,283,319,292
"NHECHLLE_01549",8504,8635,7416,3555,4248,3831
"NHECHLLE_01550",6839,6232,5485,3583,4048,3827
"NHECHLLE_01551",2793,2648,2137,1180,1340,1332
"NHECHLLE_01552",2646,3150,2792,397,393,409
"NHECHLLE_01553",1313,1270,1201,573,725,613
"NHECHLLE_01554",1338,1400,1211,2684,3076,2799
"NHECHLLE_01555",2988,3347,3125,1819,2147,1952
"NHECHLLE_01556",6096,5578,5039,3698,3976,3701
"NHECHLLE_01557",2152,1979,1832,1428,1390,1349
"NHECHLLE_01558",5085,4960,4654,3906,4059,3997
"NHECHLLE_01559",5672,5935,4400,12324,13446,14253
"NHECHLLE_01560",31,60,61,72,124,74
"NHECHLLE_01561",2508,2693,2496,12076,14167,13077
"NHECHLLE_01562",843,972,910,1611,1997,1676
"NHECHLLE_01563",1202,1245,1312,1607,2331,1896
"NHECHLLE_01564",4820,4775,4491,5609,5901,5494
"NHECHLLE_01565",7870,7635,7087,8167,8966,8639
"NHECHLLE_01566",1862,1778,1734,2423,2885,2628
"NHECHLLE_01567",902,888,932,695,701,710
"NHECHLLE_01568",1067,1079,936,553,580,590
"NHECHLLE_01569",1922,1819,1649,1713,1848,1672
"NHECHLLE_01570",1755,1743,1680,2100,2289,2233
"NHECHLLE_01571",1613,1639,1628,403,524,487
"NHECHLLE_01572",30137,28554,20428,9330,11742,11524
"NHECHLLE_01573",22702,22459,20665,22987,25155,23452
"NHECHLLE_01574",102,107,95,77,90,105
"NHECHLLE_01575",7925,7791,6997,6877,8085,7468
"NHECHLLE_01576",1078,1060,961,910,995,914
"NHECHLLE_01577",3141,3049,2922,4815,5859,5478
"NHECHLLE_01578",987,948,898,2614,2824,2700
"NHECHLLE_01579",2648,2446,2183,9177,10473,9740
"NHECHLLE_01580",2189,2451,2152,2150,2380,2150
"NHECHLLE_01581",846,888,808,816,894,838
"NHECHLLE_01582",5640,5764,5697,1740,1891,1701
"NHECHLLE_01583",8,7,9,1,4,2
"NHECHLLE_01584",43,65,68,16,26,16
"NHECHLLE_01585",674,541,511,259,249,233
"NHECHLLE_01586",876,911,818,435,539,520
"NHECHLLE_01587",1430,1504,1333,630,706,644
"NHECHLLE_01588",637,605,606,213,239,271
"NHECHLLE_01589",821,814,668,1683,1846,1675
"NHECHLLE_01590",7686,7413,6641,2539,3147,2817
"NHECHLLE_01591",5303,5559,4782,1943,2246,1897
"NHECHLLE_01592",29674,30486,28374,6425,7355,6977
"NHECHLLE_01593",474,478,420,479,540,563
"NHECHLLE_01594",2785,2942,2651,3362,3821,3596
"NHECHLLE_01595",632,697,679,777,938,860
"NHECHLLE_01596",135,182,165,418,517,466
"NHECHLLE_01597",913,880,759,3245,3535,3097
"NHECHLLE_01598",8419,8361,7282,5809,6860,6451
"NHECHLLE_01599",6024,5222,4825,1421,1687,1555
"NHECHLLE_01600",435,514,477,579,793,612
"NHECHLLE_01601",666,726,727,1181,1226,1129
"NHECHLLE_01602",34,35,39,18,20,25
"NHECHLLE_01603",50,49,51,30,28,36
"NHECHLLE_01604",168,158,127,144,183,185
"NHECHLLE_01605",472,501,428,644,704,677
"NHECHLLE_01606",149,155,145,262,247,245
"NHECHLLE_01607",751,808,730,1349,1552,1463
"NHECHLLE_01608",13249,13535,12124,5864,6643,5940
"NHECHLLE_01609",217,222,221,211,209,204
"NHECHLLE_01610",4063,4182,3622,3682,3982,4015
"NHECHLLE_01611",8485,8038,6975,13631,14974,14894
"NHECHLLE_01612",1938,1947,1931,373,490,374
"NHECHLLE_01613",13581,14129,12065,9299,9525,9363
"NHECHLLE_01614",3,6,3,0,4,1
"NHECHLLE_01615",3417,3430,3021,87634,101232,105721
